GEOID,District,Incumbent Party,Member Last,Member First,RepublicanCandidate,DemocratCandidate,RepCanNames,DemCanNames,RepNeeded,Category
13001,1,R,Cameron,Mike,TRUE,FALSE,Mike Cameron (i),,No Republican Challenger Needed,
13002,2,R,Tarvin,Steve,TRUE,FALSE,Steve Tarvin (i),,No Republican Challenger Needed,
13003,3,R,Horner,Mitchell,TRUE,FALSE,Mitchell Horner (i),,No Republican Challenger Needed,
13004,4,R,Carpenter,Kasey,TRUE,FALSE,Kasey Carpenter (i),,No Republican Challenger Needed,
13005,5,R,Barton,Matt,TRUE,FALSE,Matt Barton (i),,No Republican Challenger Needed,
13006,6,R,Ridley,Jason,TRUE,FALSE,Jason Ridley (i),,No Republican Challenger Needed,
13007,7,R,Chastain,Johnny,TRUE,FALSE,Johnny Chastain (i),,No Republican Challenger Needed,
13008,8,R,Gunter,Stan,TRUE,FALSE,Stan Gunter (i),,No Republican Challenger Needed,
13009,9,R,Wade,Will,TRUE,FALSE,Chris Dockery; Wayne Rowan,,No Republican Challenger Needed,
13010,10,R,Anderson,Victor,TRUE,FALSE,Victor Anderson (i),,No Republican Challenger Needed,
13011,11,R,Jasperse,Rick,TRUE,FALSE,Rick Jasperse (i),,No Republican Challenger Needed,
13012,12,R,Lumsden,Eddie,TRUE,FALSE,Eddie Lumsden (i),,No Republican Challenger Needed,
13013,13,R,Dempsey,Katie,TRUE,FALSE,Katie Dempsey (i),,No Republican Challenger Needed,
13014,14,R,Scoggins,Mitchell,TRUE,FALSE,Mitchell Scoggins (i),,No Republican Challenger Needed,
13015,15,R,Gambill,Matthew,TRUE,FALSE,Matthew Gambill (i),,No Republican Challenger Needed,
13016,16,R,Kelley,Trey,TRUE,FALSE,Trey Kelley (i),,No Republican Challenger Needed,
13017,17,R,Momtahan,Martin,TRUE,FALSE,Martin Momtahan (i),,No Republican Challenger Needed,
13018,18,R,Smith,Tyler Paul,TRUE,FALSE,Tyler Paul Smith (i),,No Republican Challenger Needed,
13019,19,R,Gullett,Joseph,TRUE,FALSE,Joseph Gullett (i),,No Republican Challenger Needed,
13020,20,R,Byrd,Charlice,TRUE,FALSE,Charlice Byrd (i),,No Republican Challenger Needed,
13021,21,R,Thomas,Brad,TRUE,FALSE,Brad Thomas (i),,No Republican Challenger Needed,
13022,22,R,Ridley,Jordan,TRUE,FALSE,Jordan Ridley (i),,No Republican Challenger Needed,
13023,23,R,Fincher,Bill,TRUE,FALSE,Bill Fincher (i),,No Republican Challenger Needed,
13024,24,R,Barrett,Carter,TRUE,FALSE,Carter Barrett (i),,No Republican Challenger Needed,
13025,25,R,Jones,Todd,TRUE,FALSE,Todd Jones (i),,No Republican Challenger Needed,
13026,26,R,McDonald III,Lauren,TRUE,FALSE,Lauren McDonald III (i),,No Republican Challenger Needed,
13027,27,R,Hawkins,Lee,TRUE,FALSE,Lee Hawkins (i),,No Republican Challenger Needed,
13028,28,R,Cox,Brent,TRUE,TRUE,Brent Cox (i),Mateo Sanabria,No Republican Challenger Needed,
13029,29,R,Dubnik,Matt,TRUE,FALSE,Matt Dubnik (i),,No Republican Challenger Needed,
13030,30,R,McCollum,Derrick,TRUE,FALSE,Derrick McCollum (i),,No Republican Challenger Needed,
13031,31,R,"Dunahoo, Jr.",Emory,TRUE,FALSE,"Emory Dunahoo, Jr. (i)",,No Republican Challenger Needed,
13032,32,R,Erwin,Chris,TRUE,FALSE,Chris Erwin (i),,No Republican Challenger Needed,
